;sentiscore_average;sentiment_Textblob;sentiment;textfile;journal;text_id;classified
99;0.007184921;0.006987673;0;10242_1853_ATH_76;ATH;10242;not_classified
100;-0.030020724;0.020825618;0;10244_1866_ATH_295;ATH;10244;not_classified
101;-0.028831549;0.048196471;0;10247_1886_ATH_485;ATH;10247;not_classified
113;-0.02128987;0.021892264;0;10266_1871_ATH_398;ATH;10266;not_classified
117;-0.03079285;0.052447101;0;10274_1886_ATH_711;ATH;10274;not_classified
118;-0.026476321;0.01222693;0;10275_1878_ATH_654;ATH;10275;not_classified
128;-0.010685052;-0.007440476;0;10295_1796_CR_57_1;CR;10295;not_classified
130;-0.032871007;0.012827218;0;10296_1902_ATH_375;ATH;10296;not_classified
133;-0.036391009;0.014729128;0;10302_1902_ATH_346;ATH;10302;not_classified
141;-0.019216647;0.045075053;0;10382_1892_ATH_496;ATH;10382;not_classified
151;-0.037473397;0.047673218;0;10417_1865_ATH_810;ATH;10417;not_classified
153;-0.043232745;0.029509484;0;10420_1858_ATH_580;ATH;10420;not_classified
155;-0.028854508;0.023169236;0;10422_1879_ATH_755;ATH;10422;not_classified
160;-0.016290921;0.018062124;0;10435_1839_ATH_254;ATH;10435;not_classified
161;-0.016924674;0.041138076;0;10437_1894_ATH_418;ATH;10437;not_classified
166;0.024968447;-0.016805773;0;10446_1903_ATH_653;ATH;10446;not_classified
169;0.038109713;0;0;10447_1808_MR_81_3;MR;10447;not_classified
171;-0.021803241;0.010449162;0;10451_1894_ATH_712;ATH;10451;not_classified
172;-0.02303201;0.042258191;0;10453_1914_ATH_15;ATH;10453;not_classified
173;0.046568164;-0.001261801;0;10454_1906_ATH_510;ATH;10454;not_classified
176;-0.021668975;0.096022727;0;10457_1901_ATH_733;ATH;10457;not_classified
190;0.016593595;0.001840523;0;10474_1816_CR_49_2;CR;10474;not_classified
191;-0.03188816;0.011105019;0;10474_1816_MR_49_3;MR;10474;not_classified
198;-0.013700922;-0.004965659;0;10484_1791_MR_58_2;MR;10484;not_classified
199;-0.020838201;0.029441176;0;10485_1794_CR_47_1;CR;10485;not_classified
200;-0.029048624;0.021213206;0;10485_1794_MR_47_2;MR;10485;not_classified
204;-0.041477712;0.015299433;0;10501_1815_CR_44_2;CR;10501;not_classified
205;-0.017103067;0.009839044;0;10501_1815_MR_44_3;MR;10501;not_classified
208;-0.036138696;0.012517499;0;10505_1816_MR_53_3;MR;10505;not_classified
211;0.006748927;0.006181218;0;10513_1816_BA_53_1;BA;10513;not_classified
212;0.009653728;0.007411656;0;10513_1816_CR_53_2;CR;10513;not_classified
220;-0.042985033;0.063949592;0;10541_1771_CR_53_1;CR;10541;not_classified
221;-0.069138629;0.016666667;0;10541_1771_MR_53_2;MR;10541;not_classified
222;-0.01659622;0.048667752;0;10545_1889_ATH_284;ATH;10545;not_classified
224;-0.036090913;0.091827591;0;10548_1912_ATH_278;ATH;10548;not_classified
226;-0.023816308;0.045590653;0;10553_1886_ATH_197;ATH;10553;not_classified
233;-0.044788992;0.030145193;0;10562_1897_ATH_835;ATH;10562;not_classified
235;-0.01640037;0.044279741;0;10570_1848_ATH_794;ATH;10570;not_classified
236;-0.017927876;0.02753927;0;10572_1904_ATH_546;ATH;10572;not_classified
244;-0.019977599;0.062288296;0;10583_1909_ATH_456;ATH;10583;not_classified
245;-0.040820978;0.057904266;0;10589_1901_ATH_807;ATH;10589;not_classified
246;-0.044745058;0.009502378;0;10592_1896_ATH_615;ATH;10592;not_classified
250;0.007170669;-0.031102543;0;10601_1891_ATH_824;ATH;10601;not_classified
251;-0.002008681;-0.032619048;0;10602_1788_CR_78_1;CR;10602;not_classified
