author_viaf;id;title;file_name;Binz_1790;Binz_1812;Armbruster_1813;Bachmann_1851;Gerold_1859;Last_1901;sum_libraries;binary;pub_year
22149114;20463;Der Nachsommer;Stifter_Adalbert_Der-Nachsommer_1857;0;0;0;0;1;1;2;1;1857
22149114;20464;Turmalin;Stifter_Adalbert_Turmalin_1853;0;0;0;0;1;1;2;1;1853
34463780;20489;Der junge Tischlermeister;Tieck_Ludwig_Der-junge-Tischlermeister_1836;0;0;0;1;1;0;2;1;1836
34463780;20494;Franz Sternbalds Wanderungen;Tieck_Ludwig_Franz-Sternbald_1798;0;0;0;1;1;0;2;1;1798
34463780;20495;Die Geschichte des Herrn William Lovell;Tieck_Ludwig_William-Lovell_1795;0;0;0;1;1;0;2;1;1795
34463780;20497;Vittoria Accorombona;Tieck_Ludwig_Vittoria-Accorombona_1840;0;0;0;1;1;0;2;1;1840
32038963;20522;Belphegor;Wezel_Johann-Karl_Belphegor_1776;1;1;0;0;0;0;2;1;1776
32038963;20523;Hermann und Ulrike;Wezel_Johann-Karl_Hermann-und-Ulrike_1780;1;1;0;0;0;0;2;1;1780
9856912;20532;Hexameron von Rosenhain;Wieland_Christoph-Martin_Hexameron-von-Rosenhain_1805;0;1;0;0;1;0;2;1;1805
9856912;20533;Dschinnistan;Wieland_Christoph-Martin_Dschinnistan_1786;1;1;0;0;0;0;2;1;1786
64782995;20537;Weiße Sclaven oder die Leiden des Volkes;Willkomm_Ernst_Weisse-Sclaven_1845;0;0;0;1;1;0;2;1;1845
74284867;20538;Elisa oder das Weib wie es seyn sollte;Wobeser_Wilhelmine-Caroline_Elisa-oder-das-Weib-wie-es-seyn-sollte_1795;0;1;0;1;0;0;2;1;1795
56743380;20543;Das Goldmacherdorf;Zschokke_Johann_Das-Goldmacherdorf_1817;0;0;0;1;1;0;2;1;1817
40171930;20001;Ruhe ist die erste Bürgerpflicht;Alexis_Willibald_Ruhe-ist-die-erste-Buergerpflicht_1852;0;0;0;0;1;0;1;1;1852
40171930;20004;Schloß Avalon;Alexis_Willibald_Schloss-Avalon_1826;0;0;0;1;0;0;1;1;1826
40171930;20005;Walladmor;Alexis_Willibald_Walladmor_1824;0;0;0;1;0;0;1;1;1824
40171930;20006;Isegrimm;Alexis_Willibald_Isegrimm_1854;0;0;0;0;1;0;1;1;1854
39372916;20009;Fenitschka;Andreas-Salome_Lou_Fenitschka_1898;0;0;0;0;0;1;1;1;1898
39372916;20010;Eine Ausschweifung;Andreas-Salome_Lou_Eine-Ausschweifung_1898;0;0;0;0;0;1;1;1;1898
39446657;20011;Der Sternsteinhof;Anzengruber_Ludwig_Der-Sternsteinhof_1885;0;0;0;0;0;1;1;1;1885
100175755;20012;Armut, Reichtum, Schuld und Buße der Gräfin Dolores;Arnim_Achim_Graefin-Dolores_1810;0;0;0;0;1;0;1;1;1810
7386152;20021;Dies Buch gehÃ¶rt dem KÃ¶nig;Arnim_Bettina_Dies-Buch-gehoert-dem-Koenig_1843;0;0;0;0;1;0;1;1;1843
36939191;20030;Die gute Schule;Bahr_Hermann_Die-gute-Schule_1890;0;0;0;0;0;1;1;1;1890
51730797;20031;Der Tod Georgs;Beer-Hofmann_Richard_Der-Tod-Georgs_1900;0;0;0;0;0;1;1;1;1900
7485204;20032;Stilpe. Ein Roman aus der Froschperspektive;Bierbaum_Otto_Stilpe_1897;0;0;0;0;0;1;1;1;1897
47559658;20033;Das Recht der Mutter;Boehlau_Helene_Das-Recht-der-Mutter_1896;0;0;0;0;0;1;1;1;1896
47559658;20034;Der Rangierbahnhof;Boehlau_Helene_Der-Rangierbahnhof_1896;0;0;0;0;0;1;1;1;1896
47559658;20035;Halbtier!;Boehlau_Helene_Halbtier_1899;0;0;0;0;0;1;1;1;1899
73863902;20049;Geschichte vom braven Kasperl und dem schÃ¶nen Annerl;Brentano_Clemens_Kasperl-und-Annerl_1815;0;0;0;0;1;0;1;1;1815
74130481;20056;Die klugen Jungfrauen;Conrad_Michael-Georg_Die-klugen-Jungfrauen_1889;0;0;0;0;0;1;1;1;1889
108192;20059;Ein Kampf um Rom;Dahn_Felix_Ein-Kampf-um-Rom_1876;0;0;0;0;0;1;1;1;1876
27226737;20063;Schicksale einer Seele;Dohm_Hedwig_Schicksale-einer-Seele_1899;0;0;0;0;0;1;1;1;1899
27226737;20064;Sibilla Dalmar;Dohm_Hedwig_Sibilla-Dalmar_1896;0;0;0;0;0;1;1;1;1896
66493019;20066;Polizeigeschichten;Dronke_Ernst_Polizeigeschichten_1846;0;0;0;1;0;0;1;1;1846
51684049;20070;Das Schädliche;Ebner-Eschenbach_Marie_Das-Schaedliche_1894;0;0;0;0;0;1;1;1;1894
51684049;20071;Der Kreisphysikus;Ebner-Eschenbach_Marie_Der-Kreisphysikus_1883;0;0;0;0;0;1;1;1;1883
51684049;20072;Rittmeister Brand;Ebner-Eschenbach_Marie_Rittmeister-Brand_1896;0;0;0;0;0;1;1;1;1896
51684049;20073;Das Gemeindekind;Ebner-Eschenbach_Marie_Das-Gemeindekind_1887;0;0;0;0;0;1;1;1;1887
51684049;20074;Unsühnbar;Ebner-Eschenbach_Marie_Unsuehnbar_1890;0;0;0;0;0;1;1;1;1890
51684049;20075;Die Resel;Ebner-Eschenbach_Marie_Die-Resel_1883;0;0;0;0;0;1;1;1;1883
51684049;20076;Krambambuli;Ebner-Eschenbach_Marie_Krambabuli_1883;0;0;0;0;0;1;1;1;1883
51684049;20077;Lotti, die Uhrmacherin;Ebner-Eschenbach_Marie_Lotti-die-Uhrmacherin_1874;0;0;0;0;0;1;1;1;1874
51684049;20078;Ein kleiner Roman;Ebner-Eschenbach_Marie_Ein-kleiner-Roman_1887;0;0;0;0;0;1;1;1;1887
51684049;20080;Die Freiherren von Gemperlein;Ebner-Eschenbach_Marie_Die-Freiherren-von-Gemperlein_1889;0;0;0;0;0;1;1;1;1889
51684049;20081;Der Muff;Ebner-Eschenbach_Marie_Der-Muff_1896;0;0;0;0;0;1;1;1;1896
51684049;20082;Die Poesie des Unbewusten;Ebner-Eschenbach_Marie_Die-Poesie-des-Unbewussten_1883;0;0;0;0;0;1;1;1;1883
7399816;20086;Aus dem Leben eines Taugenichts;Eichendorff_Joseph_Aus-dem-Leben-eines-Taugenichts_1826;0;0;0;0;0;1;1;1;1826
7399816;20087;Dichter und ihre Gesellen;Eichendorff_Joseph_Dichter-und-ihre-Gesellen_1835;0;0;0;0;1;0;1;1;1835
7399816;20088;Ahnung und Gegenwart;Eichendorff_Joseph_Ahnung-und-Gegenwart_1815;0;0;0;0;1;0;1;1;1815
7399816;20090;Viel Lärmen um Nichts;Eichendorff_Joseph_Viel-Laermen-um-Nichts_1832;0;0;0;0;1;0;1;1;1832
41840061;20102;L'Adultera;Fontane_Theodor_L-Adultera_1882;0;0;0;0;0;1;1;1;1882
41840061;20104;Irrungen, Wirrungen;Fontane_Theodor_Irrungen-Wirrungen_1888;0;0;0;0;0;1;1;1;1888
41840061;20105;Ellernkipp;Fontane_Theodor_Ellernkipp_1881;0;0;0;0;0;1;1;1;1881
41840061;20106;Grete Minde;Fontane_Theodor_Grete-Minde_1880;0;0;0;0;0;1;1;1;1880
41840061;20107;Schach von Wuthenow;Fontane_Theodor_Schach-von-Wuthenow_1882;0;0;0;0;0;1;1;1;1882
41840061;20109;Stechlin;Fontane_Theodor_Stechlin_1898;0;0;0;0;0;1;1;1;1898
41840061;20111;Die Poppenpuhls;Fontane_Theodor_Die-Poggenpuhls_1896;0;0;0;0;0;1;1;1;1896
41840061;20112;Unterm Birnbaum;Fontane_Theodor_Unterm-Birnbaum_1885;0;0;0;0;0;1;1;1;1885
41840061;20114;Cecile;Fontane_Theodor_Cecile_1887;0;0;0;0;0;1;1;1;1887
41840061;20115;Frau Jenny Treibel;Fontane_Theodor_Frau-Jenny-Treibel_1892;0;0;0;0;0;1;1;1;1892
41840061;20116;Unwiederbringlich;Fontane_Theodor_Unwiederbringlich_1892;0;0;0;0;0;1;1;1;1892
71431187;20117;Moschko von Parma;Franzos_Karl-Emil_Moschko-von-Parma_1880;0;0;0;0;0;1;1;1;1880
71431187;20118;Leib Weihnachtskuchen und sein Kind;Franzos_Karl-Emil_Leib-Weihnachtskuchen-und-sein-Kind_1896;0;0;0;0;0;1;1;1;1896
71431187;20119;Ein Kampf ums Recht;Franzos_Karl-Emil_Ein-Kampf-ums-Recht_1882;0;0;0;0;0;1;1;1;1882
29547947;20121;Die verlorene Handschrift;Freytag_Gustav_Die-verlorene-Handschrift_1855;0;0;0;0;0;1;1;1;1855
29547947;20123;Die Ahnen;Freytag_Gustav_Die-Ahnen_1872;0;0;0;0;0;1;1;1;1872
59072154;20124;Die Martinsklause;Ganghofer_Ludwig_Die-Martinsklause_1894;0;0;0;0;0;1;1;1;1894
49303093;20136;Der Bauernspiegel;Gotthelf_Jeremias_Der-Bauernspiegel_1837;0;0;0;1;0;0;1;1;1837
49303093;20140;Käthi die Großmutter;Gotthelf_Jeremias_Kaethi-die-Grossmutter_1847;0;0;0;1;0;0;1;1;1847
49303093;20141;Die schwarze Spinne;Gotthelf_Jeremias_Die-schwarze-Spinne_1842;0;0;0;1;0;0;1;1;1842
49303093;20148;Geld und Geist;Gotthelf_Jeremias_Geld-und-Geist_1843;0;0;0;1;0;0;1;1;1843
49303093;20149;Leiden und Freuden eines Schulmeisters;Gotthelf_Jeremias_Leiden-und-Freuden-eines-Schulmeisters_1838;0;0;0;1;0;0;1;1;1838
67257021;20158;Sibylle;Hahn-Hahn_Ida_Sibylle_1846;0;0;0;0;1;0;1;1;1846
49234879;20160;Usong;Haller_Albrecht_Usong_1771;1;0;0;0;0;0;1;1;1771
64801949;20162;Aspasia;Hamerling_Robert_Aspasia_1875;0;0;0;0;0;1;1;1;1875
9931960;20164;Der Scheik von Alessandria und seine Sklaven;Hauff_Wilhelm_Der-Scheik-von-Alessandria-und-seine-Sklaven_1827;0;0;0;1;0;0;1;1;1827
9931960;20166;Die Karawane;Hauff_Wilhelm_Die-Karawane_1826;0;0;0;0;0;1;1;1;1826
71404832;20167;Bahnwärter Thiel;Hauptmann_Gerhart_Bahnwaerter-Thiel_1888;0;0;0;0;0;1;1;1;1888
10641947;20170;An heiligen Wassern;Heer_Johann-Christoph_An-heiligen-Wassern_1898;0;0;0;0;0;1;1;1;1898
10641947;20171;Der König der Bernina;Heer_Johann-Christoph_Der-Koenig-der-Bernina_1900;0;0;0;0;0;1;1;1;1900
74606613;20172;Mutter Bertha;Hegeler_Wilhelm_Mutter-Bertha_1893;0;0;0;0;0;1;1;1;1893
50765;20180;Die bessere Welt;Heyse_Paul_Die-bessere-Welt_1914;0;0;0;0;0;1;1;1;1914
50765;20182;Am Tiberufer;Heyse_Paul_Am-Tiberufer_1855;0;0;0;0;0;1;1;1;1855
50765;20183;L'Arrabiata;Heyse_Paul_L-Arrabbiata_1855;0;0;0;0;0;1;1;1;1855
50765;20185;Andrea Delfin;Heyse_Paul_Andrea-Delfin_1862;0;0;0;0;0;1;1;1;1862
50765;20186;Beatrice;Heyse_Paul_Beatrice_1867;0;0;0;0;0;1;1;1;1867
50765;20187;Marion;Heyse_Paul_Marion_1855;0;0;0;0;0;1;1;1;1855
29535422;20191;Das Gelübde;Hoffmann_ETA_Das-Geluebde_1816;0;0;0;0;1;0;1;1;1816
29535422;20192;Das öde Haus;Hoffmann_ETA_Das-oede-Haus_1816;0;0;0;0;1;0;1;1;1816
29535422;20194;Prinzessin Brambilla;Hoffmann_ETA_Prinzessin-Brambilla_1820;0;0;0;0;1;0;1;1;1820
29535422;20195;Marquise de la Pivardiere;Hoffmann_ETA_Marquise-de-la-Pivardiere_1820;0;0;0;1;0;0;1;1;1820
29535422;20197;Des Vetters Eckfenster;Hoffmann_ETA_Des-Vetters-Eckfenster_1822;0;0;0;1;0;0;1;1;1822
29535422;20202;Das Majorat;Hoffmann_ETA_Das-Majorat_1816;0;0;0;0;1;0;1;1;1816
27630;20220;Die Epigonen;Immermann_Karl_Die-Epigonen_1836;0;0;0;0;1;0;1;1;1836
102319551;20230;Das Fähnlein der sieben Aufrechten;Keller_Gottfried_Das-Faehnlein-der-sieben-Aufrechten_1878;0;0;0;0;0;1;1;1;1878
102319551;20235;Hadlaub;Keller_Gottfried_Hadlaub_1876;0;0;0;0;0;1;1;1;1876
102319551;20238;Ursula;Keller_Gottfried_Ursula_1877;0;0;0;0;0;1;1;1;1877
102319551;20241;Der Landvogt von Greifensee;Keller_Gottfried_Der-Landvogt-von-Greifensee_1877;0;0;0;0;0;1;1;1;1877
102319551;20242;Martin Salander;Keller_Gottfried_Martin-Salander_1886;0;0;0;0;0;1;1;1;1886
77115891;20245;Das Leben auf der Walze;Kirchbach_Wolfgang_Das-Leben-auf-der-Walze_1892;0;0;0;0;0;1;1;1;1892
7392307;20246;Das Erdbeben von Chili;Kleist_Heinrich_Das-Erdbeben-von-Chili_1807;0;0;0;1;0;0;1;1;1807
7392307;20247;Das Bettelweib von Locarno;Kleist_Heinrich_Das-Bettelweib-von-Locarno_1810;0;0;0;1;0;0;1;1;1810
7392307;20248;Der Findling;Kleist_Heinrich_Der-Findling_1811;0;0;0;1;0;0;1;1;1811
